Customer,Title,Comment,Rating,Date
"Nate G","Great Customer Service !!!!","I purchased this item a few years ago and I am very pleased.  There was an issue with the MLB AtBat app not working. I contacted Anker Support and was connected with Sharon. Sharon worked with me to update my Nebula. Further, Sharon found a way for me to get the MLB app to work !!!!  She really put effort in and had to do research for this to happen. Can’t say enough about Sharon and Anker customer support. I have always purchased their lightening cables and battery packs but they have secured me as buying exclusive from them. Thanks Sharon!  And Anker.",5,2020-03-02 00:00:00.000
"Kingofken","Anker incredible experience....","The anker nebula flaw is the manual remote.I recently had difficulties in syncing my nebula capsule with my iPhone app and it was so frustrating I called Anker support.The customer rep Kayla was outstanding in sizing up the problem and fix, makes me want to continue purchasing more anker products. Interesting enough, if I need an electronic component I alway check on the Anker website if this product exists before I purchase. The comfortable feeling  with Anker products is that someone cares and prepared to act on solving any issue regarding Anker.Thank you Kayla for your assistance, you were terrific!CheersM",5,2019-12-10 00:00:00.000
"HKK","Great small portable projector","I had this projector since early this year. I've been using it for our vacations overseas, camping, in my garage while I was working on something. Occasionally we would have a movie night in our kids bedrooms. I sometimes use it while I am in my bed... I project it to my ceiling and lay down and watch all night... LOLOkay, if you are to complain that picture quality is poor I would say don't get this. Compared to the size of this projector picture quality is acceptable to my standards and actually it's pretty good. Sound quality is not bad either. I had no problem hearing the sound and if I needed more volume I would use an external speaker but with it's 360 degree speaker it was good enough most occasions.I stream Netflix, Amazon Prime Video through it's apps or use screen mirror on my iphone. I also stream movies using my DNLA capable NAS in my home network using VLC Player app. I know you can use Chromecast to stream but I don't bother since with the Netflix, Amazon Prime app and streaming from my home DNLA server is enough to watch at home. I had my son connect to xbox one through HDMI in our ski trip that we went with the friends and families and the kids had so much fun and they loved it! Capsule is now our must take item for any trips we make. When WiFi is not available I use the hot spot on my phone to stream Netflix or Amazon Prime or just use screen mirroring or have some movies copied into USB drive and watch it that way. There are many useful features you can use to enjoy your Capsule in many ways in difference occasions.Like I keep saying, this small projector has everything that it can offer to be portable and to my opinion that's the best part of owning this unit. Only downside you may find is ""IF"" you are looking for HD quality video. It's 480P and as your screen size gets bigger it will be blurry. For me up to about 60"" screen size was pretty acceptable to enjoy. Also, do not expect to use this on a daylight. Most projectors are not good when you use it in daylight unless you pay a lot for a high-end unit. This projector works best when the room is dark. I find that having window shades down will help during the day time but when it's very bright day it won't work.I am a gadget geek and I just ordered Mars 2. I am curious to see if 300 lumens vs 100 lumens makes a lot of difference and also the 720p resolution which Mars 2 supports. I am sure there will be some noticeable differences but I am sure Mars 2 won't beat the mobility of Capsule.One of the things that you should consider is that Capsule can be charged with an external battery pack with the micro USB port in the back. So if you are outdoors and have no access to wall outlet then you can connect the power bank and keep watching with extended playtime. For Mars 2 you can't really do that because it requires higher power input than what normal external power banks offer and you can only charge through DC input using the proprietary power adapter. I ordered a laptop charger with enough output and I will be testing it with the new Mars 2 but it's pretty big and it will be cumbersome to carry Mars 2 and the big power bank. I know for sure that I will miss my Capsule's mobility.Bottom line - I like the Capsule very much so far and if Capsule 2 was on the market now I would certainly have upgraded to that but won't be available until mid next year and I'd love to get my hands on Capsule 2 if my budget will allow that when time comes.",5,2018-11-06 00:00:00.000
"Luis A. Sanchez","Get it, you'll love it!","Extremely easy to use! Love all the features. You ca  download Netflix, Hulu, Amazon Prime etc on it so you can easily watch your favorite shows and movies. You can also connect devices via HDMI and love that I can also connect them to my bluetooth speakers to make it louder.I set it up in my backyard. It looks great in the dark and still not bad when I turn on my pergola lights. Extremely happy with it as its portable so dont have to mount it as I can easily set it up, store it away and travel with it. Go get one!Only issue is that Disney+ wont play from its app.",5,2020-06-25 00:00:00.000
"Jimmy L","Great for the Nintendo Switch!","",5,2018-07-15 00:00:00.000
"TB","Love it, easy to use.","Easy to use, great picture and sound quality. So far very pleased. I am concerned about the the USB cord, it uses the micro USB port and that always starts to break down after you plug and unplug over a short period of time. I have a Bluetooth speaker I bought that is no longer useful and out of warranty because the micro USB port will no longer hold the plug in. I don't know what to expect here, but if the port wears out, the Nebula will be usless",5,2020-07-10 00:00:00.000
"Erica Mckimpson","Love this projector!","We use this projector instead of a TV and would not go back! It’s mobile, can connect to a Bluetooth speaker, and works perfect for streaming apps like Hulu/Netflix. The sound is perfect for any room and if you want louder can easily connects to a speaker. We've only had to use a speaker when projecting outside because even with kiddos in the house, we can hear it perfect! We’ve projected it on multiple colored (grey, cream, lavender) walls in our home and even on the side of our house, the color and brightness work well! To top it off, it’s really nice to have the remote on your phone. You can even use your phones keyboard to search and sign in for the apps. This is a great user experience feature compared to trying to type out a password on a SmartTv with a remote! My only complaint is that we don’t have more than one in our house. We honestly couldn’t imagine not having it in our home. Their customer service is great to work with, if you do face any issues. We highly recommend it to all of our friends.",5,2019-10-16 00:00:00.000
"Marissa K. Account","Great quality, Netflix and other apps compatible.","We have tried other projectors and this one is amazing. For the price it’s so worth it. Don’t bother buying a cheaper one, the 60 dollar one I had bought then returned after trying this one.Also if you are looking for a projector to stream Netflix or Disney+ or any other apps. This one does that. We had a hard time with other projectors because these apps would not let us stream them from our phones to the projectors.",5,2021-01-23 00:00:00.000
"Will","Great functionalities and quality for the price","Very glad about the purchase. Good price for the quality you get. Great image quality in dark environment. Small size, so is very convenient to move around. Auto adjust to project square image to a wall or ceiling even if it is placed at an angle. Good battery duration at least when it’s new. Phone app control and screen mirroring both work well.Only two minor complaints. If you control it with the remote, remote has to point at the backside of the capsule. If you screen mirror YouTube from iphone to capsule, your phone has to stay in YouTube app and cannot do other things.",5,2018-06-09 00:00:00.000
"DiazGuam","So good, daughter gave up her TV to use just the projector","It was a Christmas gift to my daughter which she was happy about but only started using in January.  Thought she didn't like it but once she started using it she couldn't stop.  First we were seeing movies on the ceiling! next the hallway, and last night my white sheets went up on her bedroom wall for a gigantic movie screen.  Pretty impressed with the picture quality too.  It is officially now the coolest gadget in the house... sorry Alexa :(It is so small but what it produces is huge!",5,2019-01-17 00:00:00.000
"Ben J.","Amazing support from Anker","Oct 16 Update:Anker reached out and started solving my problems one by one. I did not contact them before writing my review and really should have. They helped me connect to Android and mirror the screen, they helped me get Play Store support which allowed me to sign into YouTube. So now it is streaming from my phone and I'm signed in!The picture and brightness are in line with what I was expecting from this size and price point. With all the light off, it feels really bright. Some have complained about the ""fan noise"" I don't think it's a problem, I don't really notice it much.",5,2019-10-07 00:00:00.000
"Babymonkey","Great picture quality and sound... I watch more nebula than TV","I love it! bright, neat, I do power point presentations, watch netflix, amazon prime. The sound is great!!!! The battery lasts more than expected and is a must that it can be charged in use. I dont like that I have to use my phone to control netflix, because my daughter loves to see the movies in the big wall, but is imposible when Im not at home with my cellphone. Also: in the presentations with usb, I cant charge the unit at the same time because it uses the same port.",5,2019-11-14 00:00:00.000
"Mike","Fantastic Little Device - Seriously My Favorite New Toy","I was a little concerned about the standard definition, but honestly the image and color quality are very good. I think so far we’ve gotten it up to about a 7foot image and it’s great. The image brightness is better than I was expecting (although we’ve only used it at night). For the size and the cost I could not be happier. I’m often disappointed with my tech toys, but this projector is amazing! Definitely recommend a tripod makes set up super flexible.",5,2021-01-29 00:00:00.000
"LindaFoster","Great product, great price","Looking at projectors has been so overwhelming. So many choices and so many mixed reviews. I am so very glad that I chose the nebula capsule! The battery life is great, the picture quality is amazing. I've been so pleasantly surprised but it's a great product is a small portable package. I also have to say their customer service is absolutely amazing. I emailed them a quesy, nothing wrong and they were so over the top helpful.",5,2020-06-09 00:00:00.000
"lindsey","Easy little fella to use","I was very skeptical about buying the projector, as it is smaller, and so was worried it wouldn’t work properly. But wow. I am so impressed!!! It is so easy to set up, so easy to use. So far I am in love! The only “complaint” I have, is you can’t use the remote control in the apps, so you have to use your phone. This is not inconvenient, it’s actually nice, BUT if you are out of the controller app, the projector thinks no one is watching so it will randomly go into sleep mode. It’s easy to turn back on, and I appreciate what they are trying to do by saving your projector life. Absolutely first world problems, but something to be aware of. Other wise, love this product and highly recommend it. Haven’t “gamed” on it yet, and will update review after I have tried. even though I bought it for movies not games.",5,2019-03-12 00:00:00.000
"M","Best All in one solution out there","I’ve been using the projector for two months. Pros:* seamless connectivity. With Android 7.1, and the big streaming apps preloaded (YouTube, Netflix) you can be watching content within 5 minutes of connecting to a steaming-capable wifi signal* apps on board - I’ve added amazon video, Xfinity Stream,  and TiVo’s apps, which are easy to use once you get used to the capsule control app on your phone ( a must). Plex (with PlexPass) also works well. I recommend doing a little work and getting the amazon AppStore for Android on the device - Anker was able to help me with that. That gives you a bunch more options.* battery life - a solid 3+ hours. You can also plug it in and run it that way* picture quality - you’re not in an IMAX theatre, so be realistic. I use this in a roof deck at night, and just project on the wall. It’s fine. I occasionally hang the projector screen, and that does improve things.* Ease of adjustment - I put mine on a low cost amazon basics tripod - works great.Cons - very few* sound quality is good, not amazing. But I love that you get audio tracks that match up with video most all of the time. I have Roku’s that can’t always get that right. If you need high volume, consider that. But, for a backyard, within 15 feet, it works just fine.Brightness. Works well at dusk. No chance of using it in daylight. Again, realistic expectations.The new Mars II model addresses both these issues. If a slightly bigger unit doesn’t throw you off, that appears to solve the cons.",5,2018-08-13 00:00:00.000
"LG","We LOVE our Nebula","We LOVE our Nebula. We have been relaxing and watching movies on the wall. I bought a screen, but it really isn’t necessary if you have good white wall space.We also bought the tripod, but it is too small, and I’ll rather use our old tripod which stands on the floor. We also bought the case, which again isn’t necessary. I’ll highly Reccomended you buy one by one and de decide if you want the screen, case and tripod.The Nebula itself is FABULOUS..!!!  Hard to watch movies during the day time though. But at night, it is AMAZING..!!",5,2018-06-04 00:00:00.000
"Ohiokid4","This projector is perfect depending on what you’re looking for","As a college student who travels, I love it. It’s not ideal for gaming, since it’s not HD, but I love it for everything else. It’s extremely portable. Sound wasn’t ideal but you can connect a Bluetooth speaker and you won’t experiende any audio delay if you play videos from the native device (meaning you use the built in Netflix app and don’t connect it via HDMI to something else or use screen mirroring). After emailing their extremely responsive and helpful support team, I got every video app working that I wanted (Netflix, Hulu, showtime, amazon) except for HBO NOW. I was advised by their team to buy an OTG cable which I found from Walmart, plugged a USB into it, and tried an older apk version I found online and it worked. I don’t have HBO GO but hbo go is included in the nebula App Store. Hopefully they’ll add HBO NOW soon as well, but for now the solution I found seems to work.",5,2019-01-04 00:00:00.000
"Brian","I am Updating the review","This is an update to the initial review, this product is not only cool it is totally functional and I love that it is so portable.  When I received it the remote only worked for a short time, however Anker customer service contacted me and replaced the remote.  I will say I love this product but I love the Anker company even more.  They stand by their products and go the extra mile to make sure their products are quality and meet the needs of the customer.  I will only buy Anker products in the future if they make what I am looking for!!!  I am overly impressed to say the least!!!!!!!",5,2019-02-01 00:00:00.000
"Rachel","Quality mini portable projector with built-in speaker.","Love how portable it is and that it functions as a speaker as well. Even though it's kind of pricey, but it does save us a lot of space and we use it very often. Hopefully we can get several years of use out of this, then it would be definitely worth it.",5,2020-11-19 00:00:00.000
"Justin Klammer","A great Android projector!","So far I’m loving the Nebula Capsule! The built in app store is lacking but if you contact their support they’ll help you unlock the full Google App Store. Now my Capsule is essentially an Amazon Fire Stick except I don’t need a tv. I can project Netflix, Hulu, YouTube and all the other streaming apps we love.The brightness is decent but you’ll obviously need to be in a darkish room or using outside at night. I prefer keeping it charging while in use so I did have to buy a longer usb cable so it didn’t have to be right next to an outlet. This won’t be a tv replacement necessarily but it does allow for viewing experiences anywhere anytime (with proper lighting). It’s pretty nice laying in bed watching Netflix on the ceiling. I totally recommend this projector.",5,2019-06-06 00:00:00.000
"Lauren s","I really am having alot of fun with this","I really am having alot of fun with this. Now I am not a tech savvy as some other reviewers, I wouldn't be able to tell you what the lumens were, but writing from that perspective the setup was super easy, ive got my netflix and prime accounts loaded into it with no problem, and the phone app works great. I have never heard the fan over the speaker, so that does not seem to be an issue.The speaker itself is clear and impressive for the size.  I just project on the side of house, and go. I did get a deal of the day price on it, So im not sure I would have tried it at full price, but im glad i did. I think this is going to be very busy this summer.",5,2018-05-29 00:00:00.000
"Nicholas","Best bang for your buck","",5,2018-11-30 00:00:00.000
"Miller J.","Worth It! Great for outdoor parties and family nights in.","I originally purchased a less expensive product for a backyard movie party that was clunky, inconsistent with sound and had connection issues.  I returned and went ahead and bought this after having read lots of reviews.  It is GREAT! Super easy to set-up, great sound and picture quality is good.  (It is a projector so not like watching on an HD TV but really fantastic for our outdoor movie parties). In fact, it is so easy to use, we have pulled it out for last minute movie nights projected onto the garage door.Sound is great through the device or you can easily connect to a bluetooth speaker like Echo if you need it to be louder. We rent or buy through Amazon Prime app downloaded on the device and watch movies with easy connection, connect to Netflix or YouTube or attach Apple TV with HDMI cable.  I highly recommend purchasing the adjustable tripod stand with it.  It make a huge difference in being able to move it around in different settings very easily.",5,2019-11-03 00:00:00.000
"Mary","Watch Hulu, Netflix, YouTube, Amazon Prime, but not able to access Apple Movies","I love this projector, I’ve had it for a year and a half and everyone I show it to thinks it’s the coolest invention. I take it camping and watch our downloaded Netflix movies and watch it instead of a tv from my bed, living room, outside, really where ever I want! The only downside is you can’t access any Apple movies you’ve purchased any, but you can watch Hulu, Netflix, YouTube, and amazon prime.",5,2020-04-14 00:00:00.000
"Lexy C","amazing!!!","incredibly easy to set up and to use.  I brought the projector outside so that I could have a socially-distanced movie night with family! I rarely write reviews, but I just had to communicate how much of a steal this projector is.",5,2020-05-05 00:00:00.000
"R. Basinger","Expensive, but great projector","After spending about half of the cost of this projector on another projector that had horrible picture and sound and I couldn't get a refund from the seller, I researched and found this portable projector. Got it quickly and have been impressed with the functionality to set-up and use the device with my phone as a remote. This is basically a Bluetooth quality speaker that has a great projector in it as well. The picture quality is really good and know that I'm going to enjoy projecting movies and shows outdoors with my family this summer.",5,2020-02-19 00:00:00.000
"M.E.","Recommended!","The unit came in very nice packaging.I got the red one since it was cheaper than the black one, and it’s a nice red!The picture quality is great, easy to adjust.For an easier setup experience, be patient and wait for it to fully charge. I was so excited to test it out and had a hard time at first because I wasn’t seeing the menu options.  I wish it had  a more-detailed info on what the iOS remote control app was for and how to use it, but I eventually figured it out.After you download the updates it also has Amazon Prime on the list.The other thing I wish it had is an output (or is that input?) to connect to an external speaker, instead of just a bluetooth option, so that I can have a real surround sound setup for my movie night/or game night.",5,2018-06-21 00:00:00.000
"Dareen","Worth it!","I love this projector, it’s the perfect size for my room. The quality of the image and responsiveness of the remote. Even when you have the device angled, it still straightens out the video! I did have to reach out to customer service regarding Airplay compatibility, but they were very responsive. Even did a follow up to make sure my needs regarding the usage of my device was met. I’ve already been recommending this to my friends! I use a mini bendable tripod for this and it’s perfect. :)",5,2020-12-08 00:00:00.000
"IndyO","Awesome device for the price","Only one issue is that the battery door on the remote was broken when I received it..**** BUT Anker and Amazon are working like mad to make things right!  Plus I can use my iphone to work the device anyways, so not a huge deal...  Not even sure I'd take the remote with me when traveling anyways.The sound quality is fantastic for such a small device.. Some people say the fan noise is loud but I don't find that at all.The picture blows me away, I can get over how far projectors have come in the past 4 years.I'd recommend this device to anyone looking for a quality projector!",5,2018-12-17 00:00:00.000
"Rodros","Portability a big plus for small kids","Picture is not as bright and other projectors, however other than that I fully recommend this projector.Originally but One For Myself but my Five year old daughter use it more than me.  The portability , battery life and more than decent speakers makes it really useful in several places.I use mostly Netflix and if needed add a memory stick to download movies inNetflix directly from the device with the included cable.Remote control App (I own a Pixel) is a bit cumbersome at first but has a fast learning curve.",5,2018-09-29 00:00:00.000
"Picineen","The best “TV” I’ve ever owned!","I have not owned a TV in our new home, but would still watch cable on my computer, and of course Netflix and Amazon Prime content.Nebula meets all my TV needs and more. I can watch cable via an app as well as Netflix and Amazon Prime content, however I still haven’t figured out how to get Pandora to work properly... Watching TV in my bedroom on a giant “screen“ (I simply project it onto the wall, it even extends over my closed door) has become an immersive treat!  I believe this stand-alone projector is well worth the investment, and is a viable, portable TV replacement—sans holes in the wall!",5,2018-06-28 00:00:00.000
"amber d","Love it!","LOVE this little projector. I love the features of it. The sound is ok but I got 2 JBL Charge 3's and it is now AMAZING. Couldn't get it to connect to my original sound bar so that was disappointing.  But in the end extremely happy and look forward to many movie nights with family and friends around campfire or in the pool4/29/19I have had this now for probably a month or so now.  I saw that you can contact Nebula and request a password to update system to allow Google play store ex. on system.  I am still working with the updated system to determine if I truly like the update but Sharon with Nebula has been amazing along the way.  Always get answers to my questions and has helped with any issue i have.  Highly recommend them! Thank you Sharon for your amazing help!",5,2019-03-03 00:00:00.000
"Dreamy","Great projector worth it","I have so many Anker products it's unbelievable. They always make good sturdy stuff that is reliable. This small soda can type projector is the better than any of those big expensive projectors. The system works well in every way and fashion. The remote app that I can project my iPad or phone to it is phenomenal and the brightness of the projector is good.The battery life is so good I could watch 2 shows and have power left.I always trust Anker products regardless they are the best.",5,2018-06-20 00:00:00.000
"kelsey","Love this product!","",5,2020-06-24 00:00:00.000
"Laurel","Fantastic Projector for Travel","We purchased this to use as a family television while completing a transcontinental move and let me tell you, this thing came in clutch. The picture quality far surpassed our expectations and the brightness was more than adequate for our needs. The built in apps were very useful for our children (YouTube and Disney+ especially) and we were also able to connect it to our Apple TV which made the possibilities nearly endless. The focus adjust was very sensitive but it worked well. We did find it necessary to buy an adjustable gorilla stand for it. Overall, it was well worth the price tag and we will likely be purchasing other Nebula capsule in the future.",5,2021-01-02 00:00:00.000
"Prime addict :)","Cinema like experience, fun family projector","Purchased on a whim for a planned trip/vacation to a remote cabin.We had an absolute blast as a family using the Nebula to watch Youtube videos and movies.Netflix, Kodi, Amazon etc all streamed w/ ease. I purchased one of those roll up screens designed for these projectors and once the room was super dark, the show began. Sound was great and picture was theater like, just what we expected. Couldn't be more pleased.And the size....really?, perfect",5,2018-07-15 00:00:00.000
"Luciraldo","amazing!!!","I tried several projectors in the past few months. I started with $60 projectors until I reached this one. The quality and the size are unbeatable for this price. I cannot recommend it enough. I bought it to put cat games for my cats, but I have actually enjoyed it as a TV in my bedroom.",5,2021-03-17 00:00:00.000
"jerome a jao","Incredibly Versatile, Great Quality, Upgrade the Software ASAP!","This is my first review. The ideal use case for this device is projecting Netflix, Youtube, etc a 40""-50"" screen on a wall at night in a dark room, on a whim. The ""on a whim"" part is very important, because it is very easy to set up quickly - all you need is a wi-fi signal that could even be your phone's hotspot. No need for power cables, an HDMI source like a chromecast or fire stick, external speakers, or even a phone to run everything. What used to take in my situation 4 devices and 3 power outlets is reduced to a single battery powered device. This is a game changer if you are into impulsive/opportunistic viewing of videos.I highly recommend updating the software to the Beta version which will enable support of Youtube login accounts (so you can watch paid movies), HBO Go, etc.What this is not good for is if you want to watch in the morning (reserve only for toddler cartoons), or blow up the picture to 100"" (pics become very fuzzy), or if you want the best quality sound (no line out for sound, bluetooth sound is noticabley laggy), or want to watch for longer than 4hrs; so be aware of this and adjust your expectations going in. Bigger, brighter, clearer picture, better sound, you need to step up to the Nebula Mars, and even that will not do daylight well.With the correct expectations set, you will be very happy with this product",5,2018-10-30 00:00:00.000
"Lauren Graybeal","Not a home theater in a box, but incredible for it's size and portability","If what you're looking for is something extremely bright, crisp, and fast to watch things like Game of Thrones or even Planet Earth on, a projector of this size probably isn't what you're looking for. However, for its size it's perfect!I use it in my room to watch Netflix (comes installed on the device) and Amazon Prime videos (also comes installed).The biggest selling point for me after buying was the high-customizability of the keystone (aka adjusting the screen angle vertically OR horizontally), which is a feature typically only available on must higher end projectors.  The screen size can only be adjusted by placing the Nebula closer or further from the wall, which was a bit of a bummer, but I found that the keystone adjustments allowed me to get the exact positioning I wanted for my set up.The Bluetooth speaker inside is VERY powerful and adequate enough for most shows, even Game of Thrones. As mentioned, for a home theater set up, this isn't the projector you're looking for, but for just chilling in bed or watching YouTube videos with friends, this is AWESOME.Finally, the Nebula has an option to control the screen with your phone. Not only can you screen share flawless from your iPhone, you don't have to worry about the pesky receiver that can be difficult to reach with the included remote.I sold my old Epson projector in order to buy the Nebula capsule and so far have not been disappointed. It's conveniences and thoughtful features have made it my new favorite toy and definitely something I see bringing with me to parties and trips.",5,2019-03-15 00:00:00.000
"J Woodcock","Wow is this great. Everything included in one small portable package","Wow is this great.  Everything included in one small portable package. No need for cables of any kind. Phone is the remote. This product just throws up a giant TV where you want it. I love the built in OS. Best results are in close to complete darkness. Volume maybe could be a little louder but unit will likely be bigger.  Tremendous product at a relatively low price point.  Had for a few weeks now and gets regular use",5,2018-05-10 00:00:00.000
"Teacup","Excellent product! Excellent support team!","Anker’s customer service team is SOLID! From setting up their amazing Nebula Projector (thank you Kevin and Ashley!) to their Amazon representative’s outstanding customer service (thank you Helen!). They were all eager to help, a pleasure to talk/communicate with, went above and beyond to make sure everything was a breeze for me.  They should do customer service consulting as they have got it down to a science with heart.  Just like their cool little mighty Nebula projector.  I cannot wait to show others this machine.  I’ve already recommended it to others.  I also reiterate that their support team will answer all their questions and be there every step of the way.  My nephew and brother love the home theatre feel.  It is such a blast to have and also quite sophisticated when doing presentations on the job.  Please watch the trailer vid to this Nebula Projector.  Describing it does no justice.  Describing their team does no justice as well.",5,2019-02-26 00:00:00.000
"Sydney","it’s awesome","it’s great. i didn’t want to buy a tv so i bought this instead. i lay in bed and cast it at my ceiling and it works great. great picture and pretty good sound but you can connect it to any bluetooth speaker you have. i could and would bring it anywhere with me",5,2020-04-25 00:00:00.000
"Torsten Banze","Love the concept but wish it had a higher resolution....","This thing is awesome. Is the most portable  decent looking all in smart projector you can get (at a sale price). It really delivers as promised but given the size and shape you will need to compromise on a few minor things. 100ANSI is not getting you a bright picture in daylight. However, its really great in low light and dark environments. 5 Watts 360 speakers get you  sound, but not and cinematic experience. You may have to invest another 50-100USD in a portable Bluetooth speaker if you want some  more impressive sound with your movies. Having said all of he above, I switch from watching big screen movies on Netflix on our 65"" UHDTV to this little guy and for the bigger picture. :)",5,2018-12-10 00:00:00.000
"PJ","works great in dark to semi-dark environments.  easily portable as well","bought this for my daughter's dorm room.  She loves it.  we have several streaming subscriptions, and it works great with Prime and netflix.  she uses it to watch both in her dorm room, and even takes it with her to watch elsewhere.  If you are going to carry it around, i would definitely get a good case for it.  Plenty bright, and she says the built in speaker is more than enough for her room.  this is not meant for a bright room.",5,2019-10-23 00:00:00.000
"Michelle","Great image quality! Worth the price, very portable.","This is super awesome and very portable! I was able to watch shows in the broad daylight with slightly dimmer but with great resolution and image quality. I’m satisfied with the purchase definitely worth the money. Only downside is the battery life which is pretty short if you’re trying to binge watch an entire season in one sitting be prepared to hook it up to a charger! Good news charging is quick!Images include blinds fully closed and then blinds open both are in day time. Night time quality is very vivid!",5,2020-05-28 00:00:00.000
"luvshoes","Awesome Projector!","I am so happy I finally found a projector that works well! I had purchase two other projectors before I purchased this one and they were not user friendly at all and I couldn't get either of them to work. I decided to spend a little extra and buy this one. We were having an outdoor movie night for my son's birthday and this projector was perfect! It is so easy to use, the picture quality was great as well as the sound. I am average when it comes to using technology and this was really easy for me to operate. We have only had it for a week but we plan on having many more movie nights indoors and outdoors with this awesome projector.",5,2020-08-30 00:00:00.000
"Jonathan Sebo","this thing is *ahem* TOO COOL.  Highly recommend.  Quality construction.","This is too cool and too fun.  Great for camping (just aim it at the side of a tent), for use in the home to watch movies... you could buy a screen or just display it right on the wall.  I'm not a parent but if I had kids I bet they'd have so much fun watching movies on the wall... me personally I use this as a teaching aid, I can carry it in my bag because it's the size of a soda can.  Buy the tripod, you'll need it but the tripod is affordable and SOLID.... for the price this thing is too much fun and too easy to use.  Highly recommend.  I've read the other favorable reviews on this projector and they are accurate as well.",5,2019-08-31 00:00:00.000
"Kimberly T","so much so that my best friend has purchased one and another is getting ready ...","Less than a week ago I bought the Nebula Capsule and I have been blown away...so much so that my best friend has purchased one and another is getting ready to. I've been able to run a video presentation via the USB with no problem, used my HDMI to mirror my computer, as well as enjoyed Netflix movies shown on the wall of our kids room.I called in today for a couple questions and Christian and Ashley were amazing...quick with answers and solutions...all with a pleasant demeanor. Can't wait to see all the ways to use this outstanding projector",5,2018-06-06 00:00:00.000
"Benjamin Remington","Packs a lot of value into a tiny and affordable package.","I use this for outdoor movies when camping with friends. The built-in speakers aren't going to shake any walls, but dialogue and music is clear enough to hear even from several feet away. The projector is shockingly bright for its size and battery life. It's definitely not high-res, but for casual movie watching it's easily sufficient. I'm very pleased with my purchase.",5,2021-06-25 00:00:00.000
"Christopher","Camping and family movie night will never be the same.","Great! We've watched Netflix, Prime video, HBO Go, showtime anytime, Hulu, home videos and haven't used a wire or cord yet aside from charging it. Watched Back to the Future II on the deck at dusk last night.",5,2020-05-29 00:00:00.000
"Woodc33","Great gift","Bought another projector for my husband for Christmas, but this one was recommended on CBS Sunday Morning and we decided to give it a try. MUCH EASIER TO USE than the other one. We sent that one back and are looking forward to many evenings on our deck under the stars with a movie.",5,2021-03-04 00:00:00.000
"linouye","Great Portable Projector","This thing is awesome!  The sound is loud enough for a roomful of people to hear and it throws a massive picture.  We tested it in a room that has blackout shades, and it was a little hard to see because of the cracks of light coming through (but still watchable). Once it was dark outside this thing was amazing.  The resident Android OS and ability to download Netflix, Amazon Video, etc. is also pretty cool.  Can't wait to bust this out while camping!",5,2019-04-22 00:00:00.000
"pimp3227","Absolutely a great purchase!","I love the build of this product and it's mobility, nothing like taking an instant movie screen everywhere you go. I had issues connecting to the app and then I emailed the company and they were very helpful and responsive and now it works like a charm. My Hulu fails to operate on it, but I'm sure they will be coming up with a patch to fix it soon :-)",5,2020-07-08 00:00:00.000
"lisa mcbride","Great, compact, and easy to use!","This projector has good sound quality for it's size, and the picture quality is great too! We did purchase a tripod to help steady it in most situations, but overall super happy with this product! It's actually the second one we bought. Our son who is away at college uses it for dates and groups outdoors and he can control it all through his phone which is great. We've used it on vacation, as well as around the house...good to use with Netflix to watch movies or shows anywhere!",5,2019-08-02 00:00:00.000
"Brandi","Great quality, picture, and sound. LOVE!!!!","Absolutely love. Very easy to use. Great quality picture and sound. So easy to set up. Can connect to apps. You can project from computer and even mirror your phone. So handy. We use it for homeschool as well. Well worth the money for such a well made handy gadget.",5,2020-12-26 00:00:00.000
"Jenn","Great for travel but has draw backs","Great little project but I do have a few issues with it. Brightness isn’t the best, you really need to be in a very very dark environment to use for movies. Remote that is provide works but in order to use apps such as Prime Video, you need to download the Nebula App and use the remote on there, which can be an annoyance.",5,2020-06-04 00:00:00.000
"Frank H McGee","Exactly What I Wanted","This is the perfect travel projector. It is exactly what I expected and wanted. I have the ViewSonic M1 as well which is an amazing projector. I use the ViewSonic in my room as my television. The Nebula is my go to for a take anywhere media device. Today I hooked up the Sega Genesis Mini and now it will be my portable party arcade. I am very happy with this purchase.",5,2019-09-23 00:00:00.000
"I. Tecsa","Awesome little projector!","This is really nice. We use it as a ceiling projector while laying in bed. The apps work well and the remote is fine. We mostly use the iPhone app to control it.",5,2019-12-30 00:00:00.000
"Christine","Clear picture, great sound, and 10/10 Nebula customer support.","The Capsule is the BEST and worth the money. I bought the Capsule in February and it has worked flawlessly - whether I’m watching Netflix or Hulu from the device, using the HDMI, or using it as a speaker. The one time I had trouble connecting my phone with the Connect app, Nebula support went out of their way to help me fix it. (If you’re having issues and haven’t contacted them, I highly recommend doing so).The picture quality is great, but like any projector it looks best and is easiest to see in low light.We’ve been loving social distance movie nights outdoors, made possible by this projector! Can’t wait to take it camping soon.",5,2020-06-07 00:00:00.000
